code_insee,commune,dep,latitude,longitude
02216,Corcy,,49.2523955,3.2107619
02219,Coucy-la-Ville,,49.5338889,3.3302778
02217,Coucy-le-Château-Auffrique,,49.5193946,3.3205038
02221,Coupru,,49.0313238,3.2711673
02222,Courbes,,49.6852778,3.4519444
02232,Coyolles,,49.2342855,3.0429204
02236,Crécy-au-Mont,,49.4886111,3.3255556
02257,Dallon,,49.8212000,3.2434500
02258,Dammard,,49.1437159,3.1957762
02259,Dampleux,,49.2434969,3.1540927
02260,Danizy,,49.6653051,3.3925653
02261,Dercy,,49.7047362,3.6853417
02262,Deuillet,,49.6308333,3.3622222
02265,Dohis,,49.7622222,4.1363889
02269,Dorengt,,49.9755556,3.6850000
02270,Douchy,,49.7963889,3.1358333
02271,Dravegny,,49.2286578,3.6388222
02272,Droizy,,49.2775000,3.3941400
02273,Dury,,49.7498000,3.1308900
02274,Ébouleau,,49.6734000,3.8729400
02276,Englancourt,,49.9170488,3.8010854
02278,Éparcy,,49.8741667,4.0611111
02287,Essigny-le-Grand,,49.7757876,3.2763080
02298,Étreux,,49.9950000,3.6575000
02301,Faucoucourt,,49.5310858,3.4630334
02302,Faverolles,,49.2236100,3.1763889
02308,Fesmy-le-Sart,,50.0476655,3.6944812
02311,Filain,,49.4524677,3.5584196
02313,Flavigny-le-Grand-et-Beaurain,,49.8931202,3.6665942
02315,Flavy-le-Martel,,49.7126433,3.1915578
02316,Fleury,,49.2587350,3.1566772
02317,Fluquières,,49.8038889,3.1536111
02318,Folembray,,49.5425466,3.2917502
02320,Fontaine-lès-Clercs,,49.8032466,3.2215291
02324,Fontenelle,,50.0313889,3.8663889
02327,Foreste,,49.8094445,3.0997221
02329,Fourdrain,,49.6160558,3.4648239
02333,Fresnes,,49.5544444,3.3705556
02335,Fressancourt,,49.6333333,3.4263889
02336,Frières-Faillouël,,49.6867900,3.2389186
02337,Froidestrées,,49.9408155,3.9046799
02338,Froidmont-Cohartille,,49.6854869,3.7076243
02339,Gandelu,,49.0946068,3.1839258
02340,Gauchy,,49.8250000,3.2705556
02341,Gercy,,49.8138889,3.8683333
02342,Gergny,,49.9150000,3.9350000
02343,Germaine,,49.8119445,3.1158333
02345,Gibercourt,,49.7375000,3.2852778
02346,Gizy,,49.6014113,3.7750603
02354,Grandrieux,,49.7311111,4.1855556
02359,Grugies,,49.8138889,3.2669444
02360,Guignicourt,,49.4441240,3.9618156
02361,Guise,,49.8982325,3.6262542
02362,Guivry,,49.6472223,3.1199999
02363,Guny,,49.5197222,3.2683333
02366,Hannapes,,49.9727778,3.6261111
02367,Happencourt,,49.7771000,3.1893200
02368,Haramont,,49.2776988,3.0627757
02370,Hargicourt,,49.9630556,3.1808333
02375,Hautevesnes,,49.1094365,3.2320190
02376,Hauteville,,49.8783333,3.5230556
02380,Hinacourt,,49.7458333,3.2966667
02381,Hirson,,49.9203419,4.0837186
02385,Housset,,49.7950000,3.7086111
02386,Iron,,49.9550000,3.6608333
02387,Itancourt,,49.8075000,3.3458333
02388,Iviers,,49.7844444,4.1436111
02391,Jeantes,,49.8044444,4.0558333
02397,Jussy,,49.7201000,3.2309000
02141,La Capelle,,49.9780556,3.9172222
02162,La Chapelle-sur-Chézy,,48.9465732,3.3777287
02304,La Fère,,49.6632869,3.3661672
02306,La Ferté-Chevresis,,49.7375000,3.5586111
02307,La Ferté-Milon,,49.1776527,3.1247707
02312,La Flamengrie,,50.0047222,3.9211111
02378,La Hérie,,49.8844444,4.0486111
02545,La Neuville-Bosmont,,49.7128505,3.8393285
02546,La Neuville-en-Beine,,49.6739000,3.1528800
02547,La Neuville-Housset,,49.7922222,3.7294444
02548,La Neuville-lès-Dorengt,,49.9780556,3.6761111
02705,La Selve,,49.5698000,3.9952700
